타임스탬프,동호회 이름,"모집 대상
(선출 가능 여부, 군미필 여부, 6인제 동호회 등 기타 정보는 따로 기입 부탁드립니다.)","운동 장소  
(지도 등록을 위해 정확한 '도로명 주소' 또는 '체육관 이름'을 입력해 주세요.)","운동 시간
(예시 : 매주 토요일 13:00~17:00)  ","회비 정보
(예시 : 월 3만원 / 게스트 1만원)","인스타그램 아이디
('@' 기호를 뺀 아이디만 입력해 주세요.)
(예시 : gvt__official )","홈페이지 또는 오픈카톡 링크
(http를 포함한 전체 주소를 입력해 주세요.)  ",이메일 주소
2025. 12. 17 오후 1:42:46,GVT,"성인, 대학생",서울특별시 광진구 아차산로70길 35,매주 토요일 13:00~17:00,월 3만원 / 게스트 1만원,gvt__official,,
2025. 12. 17 오후 1:43:23,브이홀릭,"성인, 대학생",경기도 성남시 분당구 양현로 262,매주 화/금 19:00~22:00 / 일 14:00~18:00,월 4만원 / 게스트 1만원,v_holic_2010,,
2025. 12. 17 오후 2:11:05,H_B,"성인, 대학생 (선출가능)",경기도 수원시 장안구 수일로233번길 15,매주 수요일 18:00~22:00,월 2만원 / 게스트 8천원 (싸다싸!),hb_volleyball_club,http://www.hb-volleyball.co.kr,
2025. 12. 17 오후 2:12:40,H_B,"성인, 대학생 (선출가능)",경기도 화성시 매송면 매송로 41,매주 토요일 18:00~22:00,월 2만원 / 게스트 8천원 (싸다싸!),hb_volleyball_club,http://www.hb-volleyball.co.kr,
2025. 12. 17 오후 8:56:26,동두천화목배구클럽,"성인, 대학생, 청소년",경기도 동두천시 어수로 4,매주 월/수/금 19:30~22:00,월 1만원,ddc_voller,https://open.kakao.com/o/p10jZzWh,
2025. 12. 18 오전 8:10:27,팀큐브,"성인, 대학생, (여성전용, 6인제)",서울 강남구 삼성로135길 42,매주 월 19:00~21:00 / 수 19:00~21:00,월 6.5만원(주2회 11만원) / 게스트 2.5만원,teamcubevc,,
2025. 12. 18 오전 10:33:04,성북SVA,"성인, 대학생, 청소년",서울 성북구 화랑로13길 144,매주 화/목 19:00~22:00,월 8만원,kr_sports_plus,,
2025. 12. 18 오전 11:41:07,라이크발리볼,"성인, 대학생",인천 미추홀구 석정로 165,매주 토요일 : 12:30~16:30,월 3만원 / 게스트 1만원,likevolleyball_team,,
2025. 12. 18 오전 11:41:07,라이크발리볼,"성인, 대학생",인천 서구 한중로 25 ,매주 수요일 : 18:00~21:00,월 3만원 / 게스트 1만원,likevolleyball_team,,
2025. 12. 18 오후 1:05:12,JK배구클럽,"성인, 대학생",경기 시흥시 장곡로 10,매주 일요일 : 10:00~13:00,회비3만 / 게스트비 없음,,https://m.cafe.daum.net/volleyballsok/IfzY/3333?searchView=Y,
2025. 12. 18 오후 1:25:20,새로(CERO),"성인, 대학생",서울 강동구 상일로12길 56,매주 토요일 14:00~17:00,월 4만원 / 게스트 1만원,cero_vc,,
2025. 12. 18 오후 1:45:12,마산베스트,"성인, 대학생",경남 창원시 마산회원구 팔용로 280,매주 화/목 19:00~21:00,월3만원,masan_best,,
2025. 12. 18 오후 3:28:21,대구 NTC,"성인, 대학생, (선출가능, 군미필 상관x)",대구 달서구 계대동문로3길 46,매주 월/수/목 18:30~21:30,월3만원 / 게스트비 x,ntc_volleyball,,
2025. 12. 18 오후 5:57:50,광명선우,무관,경기 광명시 가림로 18 하안북초등학교,매주 일요일 13:00~17:00,월 2만원 / 게스트 1만원,volleyball_sunwoo,,
